id,title,lemmatized,sentiment_lemm,fear,anger,anticipation,surprise,sadness,joy,disgust,positive,negative
13919,The Chumscrubber,suicide father son relationship surreal independent film parallel world fear trust love comedy drama iso_3166_1 de name germany iso_3166_1 u name united state america english,chumscrubber dark comedy life people live upperclass suburbia begin dean stiffle find body friend troy doesnt bother telling adult know wont care everyone town self consumed worry anything else everybody form drug get day comedy drama suicide father son relationship surreal independent film parallel world,0.1333333333333333,0.0666666666666666,0.1333333333333333,0.0,0.2,0.0666666666666666,0.0,0.0666666666666666,0.2
13920,Radio,biography friendship sport courage made champion drama iso_3166_1 u name united state america english,high school football coach harold jones befriends radio mentallychallenged man becomes student tl hanna high school anderson south carolina friendship extends several decade radio transforms shy tormented man inspiration community drama biography friendship sport,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.3888888888888889,0.0
13922,The Great Raid,based novel world war ii prisoner war narration archive footage rescue mission soldier 1940s inspired true event fictionalized history daring rescue mission time story never told action history war iso_3166_1 u name united state america english,world war ii rage elite sixth ranger battalion given mission heroic proportion push 30 mile behind enemy line liberate 500 american prisoner war action history war based novel world war ii prisoner war narration archive footage rescue mission soldier 1940s inspired true event fictionalized history,0.1379310344827586,0.1206896551724138,0.0517241379310344,0.0689655172413793,0.0517241379310344,0.1034482758620689,0.0517241379310344,0.1379310344827586,0.1551724137931034
13937,Raising Cain,demented deranged deceptive de palma drama horror thriller crime iso_3166_1 u name united state america english,neighborhood kid begin vanishing jenny suspect child psychologist husband carter may resuming deranged experiment father performed carter young fall jenny unravel mystery child disappear fear child safety drama horror thriller crime,0.1282051282051282,0.1025641025641025,0.1794871794871795,0.1025641025641025,0.0512820512820512,0.1025641025641025,0.0512820512820512,0.1025641025641025,0.1538461538461538
13938,The Last Dragon,martial art pizzeria limousine music family think he crazy enemy think he challenge know he last dragon action adventure comedy iso_3166_1 u name united state america english,young man search master obtain final level martial art mastery known glow along way must fight evil martial art expert rescue beautiful singer obsessed music promoter action adventure comedy martial art pizzeria limousine music,0.0338983050847457,0.1016949152542373,0.1186440677966101,0.0847457627118644,0.1016949152542373,0.1694915254237288,0.0169491525423728,0.2542372881355932,0.0338983050847457
13948,An American Carol,terrorist parody documentary filmmaker sattire laugh like youre country depends comedy fantasy iso_3166_1 u name united state america english,american carol cynical antiamerican hollywood filmmaker set crusade abolish 4th july holiday visited three spirit take hilarious journey attempt show true meaning america comedy fantasy terrorist parody documentary filmmaker sattire,0.1,0.1,0.1,0.0666666666666666,0.0333333333333333,0.1666666666666666,0.0333333333333333,0.2,0.1
13950,All About the Benjamins,record store sexuality autograph underwear painting safe sexual attraction motorcycle juvenile delinquent stoner music store hand crotch premarital sex raised middle finger employer employee relationship cupcake twenty something money bag sidewalk storem money make people funny thing action adventure comedy iso_3166_1 u name united state america english,bucum jackson cube bounty hunter lot attitude interest taking partner working martinez bail bond jackson unorthodox method tracking lowlife criminal work one day hope become bos open private investigation firm reggie wright epps slippery con artist avoiding law jackson cat mouse chase two stumble multimillion dollar diamond heist hiding jackson wright find thief getaway van end escape discover booty fake much displeasure ruthless bos flanagan wright meet girlfriend mendes discovers recently purchased lottery ticket sole winner 60 million unfortunately wallet held ticket left thief van persuades jackson help get back action adventure comedy record store sexuality autograph underwear painting safe sexual attraction motorcycle juvenile delinquent stoner music store hand crotch premarital sex raised middle finger employer employee relationship cupcake twenty something money bag sidewalk storem,0.0941176470588235,0.0705882352941176,0.1411764705882353,0.0588235294117647,0.0470588235294117,0.0941176470588235,0.0705882352941176,0.2,0.1411764705882353
13960,ATL,new american story drama iso_3166_1 u name united state america english,four friend prepare life high school different challenge bring turning point life drama unfold resolve local rollerskating rink cascade drama,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0,0.3333333333333333,0.0833333333333333
13963,The Last Waltz,1970s music started concert became celebration documentary music iso_3166_1 u name united state america english,martin scorsese rockumentary intertwines footage band incredible farewell tour probing backstage interview featured performance eric clapton bob dylan joni mitchell ringo starr rock legend documentary music 1970s music,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.4285714285714285,0.0
13967,Miss Potter,loss lover mountain lake author rabbit life beatrix potter enchanting tale drama family romance iso_3166_1 gb name united kingdom iso_3166_1 u name united state america english,story beatrix potter author beloved bestselling childrens book tale peter rabbit struggle love happiness success drama family romance loss lover mountain lake author rabbit,0.0909090909090909,0.0606060606060606,0.1515151515151515,0.0303030303030303,0.0909090909090909,0.1515151515151515,0.0,0.2424242424242424,0.0606060606060606
